weight,num,max
58.8,4,5.85E-12
58.9,4,5.82E-12
59,4,5.8E-12
59.1,4,5.78E-12
59.2,4,5.76E-12
59.3,4,5.74E-12
59.4,4,5.72E-12
59.5,4,5.69E-12
59.6,4,5.67E-12
59.7,4,5.65E-12
59.8,4,5.63E-12
59.9,4,5.61E-12
60,4,5.59E-12
60.1,4,5.57E-12
60.2,4,5.55E-12
60.3,4,5.53E-12
60.4,4,5.51E-12
60.5,4,5.48E-12
60.6,4,5.46E-12
60.7,4,5.44E-12
60.8,4,5.42E-12
60.9,4,5.4E-12
61,4,5.38E-12
61.1,4,5.36E-12
61.2,4,5.34E-12
61.3,4,5.32E-12
61.4,4,5.3E-12
61.5,4,5.28E-12
61.6,4,5.26E-12
61.7,4,5.24E-12
61.8,4,5.22E-12
61.9,4,5.2E-12
62,4,5.18E-12
62.1,4,5.16E-12
62.2,4,5.14E-12
62.3,4,5.12E-12
62.4,4,5.1E-12
62.5,4,5.08E-12
62.6,4,5.06E-12
62.7,4,5.04E-12
62.8,4,5.03E-12
62.9,4,5.01E-12
63,4,4.99E-12
63.1,4,4.97E-12
63.2,4,4.95E-12
63.3,4,4.93E-12
63.4,4,4.91E-12
63.5,4,4.89E-12
63.6,4,4.87E-12
63.7,4,4.85E-12
63.8,4,4.84E-12
63.9,4,4.82E-12
64,4,4.8E-12
64.1,4,4.78E-12
64.2,4,4.76E-12
64.3,4,4.74E-12
64.4,4,4.72E-12
64.5,4,4.71E-12
64.6,4,4.69E-12
64.7,4,4.67E-12
64.8,4,4.65E-12
64.9,4,4.63E-12
65,4,4.61E-12
65.1,4,4.6E-12
65.2,4,4.58E-12
65.3,4,4.56E-12
65.4,4,4.54E-12
65.5,4,4.52E-12
65.6,4,4.51E-12
65.7,4,4.49E-12
65.8,4,4.47E-12
65.9,4,4.45E-12
66,4,4.44E-12
66.1,4,4.42E-12
66.2,4,4.4E-12
66.3,4,4.38E-12
66.4,4,4.37E-12
66.5,4,4.35E-12
66.6,4,4.33E-12
66.7,4,4.31E-12
66.8,4,4.3E-12
66.9,4,4.28E-12
67,4,4.26E-12
67.1,4,4.25E-12
67.2,4,4.23E-12
67.3,4,4.21E-12
67.4,4,4.19E-12
67.5,4,4.18E-12
67.6,4,4.16E-12
67.7,4,4.14E-12
67.8,4,4.13E-12
67.9,4,4.11E-12
68,4,4.09E-12
68.1,4,4.08E-12
68.2,4,4.06E-12
68.3,4,4.04E-12
68.4,4,4.03E-12
68.5,4,4.01E-12
68.6,4,3.99E-12
68.7,4,3.98E-12
68.8,4,3.96E-12
68.9,4,3.95E-12
69,4,3.94E-12
69.1,4,3.93E-12
69.2,4,3.92E-12
69.3,4,3.91E-12
69.4,4,3.91E-12
69.5,4,3.9E-12
69.6,4,3.89E-12
69.7,4,3.88E-12
69.8,4,3.87E-12
69.9,4,3.87E-12
70,4,3.86E-12
70.1,4,3.85E-12
70.2,4,3.84E-12
70.3,4,3.83E-12
70.4,4,3.83E-12
70.5,4,3.82E-12
70.6,4,3.81E-12
70.7,4,3.8E-12
70.8,4,3.8E-12
70.9,4,3.79E-12
71,4,3.78E-12
71.1,4,3.77E-12
71.2,4,3.77E-12
71.3,4,3.76E-12
71.4,4,3.75E-12
71.5,4,3.74E-12
71.6,4,3.74E-12
71.7,4,3.73E-12
71.8,4,3.72E-12
71.9,4,3.71E-12
72,4,3.71E-12
72.1,4,3.7E-12
72.2,4,3.69E-12
72.3,4,3.68E-12
72.4,4,3.68E-12
72.5,4,3.67E-12
72.6,4,3.66E-12
72.7,4,3.65E-12
72.8,4,3.65E-12
72.9,4,3.64E-12
73,4,3.63E-12
73.1,4,3.62E-12
73.2,4,3.62E-12
73.3,4,3.61E-12
73.4,4,3.6E-12
73.5,4,3.6E-12
73.6,4,3.59E-12
73.7,4,3.58E-12
73.8,4,3.57E-12
73.9,4,3.57E-12
74,4,3.56E-12
74.1,4,3.55E-12
74.2,4,3.55E-12
74.3,4,3.54E-12
74.4,4,3.53E-12
74.5,4,3.53E-12
74.6,4,3.52E-12
74.7,4,3.51E-12
74.8,4,3.5E-12
74.9,4,3.5E-12
75,4,3.49E-12
75.1,4,3.48E-12
75.2,4,3.48E-12
75.3,4,3.47E-12
75.4,4,3.46E-12
75.5,4,3.46E-12
75.6,4,3.45E-12
75.7,4,3.44E-12
75.8,4,3.44E-12
75.9,4,3.43E-12
76,4,3.42E-12
76.1,4,3.42E-12
76.2,4,3.41E-12
76.3,4,3.4E-12
76.4,4,3.4E-12
76.5,4,3.39E-12
76.6,4,3.38E-12
76.7,4,3.38E-12
76.8,4,3.37E-12
76.9,4,3.36E-12
77,4,3.36E-12
77.1,4,3.35E-12
77.2,4,3.34E-12
77.3,4,3.34E-12
77.4,4,3.33E-12
77.5,4,3.32E-12
77.6,4,3.32E-12
77.7,4,3.31E-12
77.8,4,3.3E-12
77.9,4,3.3E-12
78,4,3.29E-12
78.1,4,3.29E-12
78.2,4,3.28E-12
78.3,4,3.27E-12
78.4,4,3.27E-12
78.5,4,3.26E-12
78.6,4,3.25E-12
78.7,4,3.25E-12
78.8,4,3.24E-12
78.9,4,3.23E-12
79,4,3.23E-12
79.1,4,3.22E-12
79.2,4,3.22E-12
79.3,4,3.21E-12
79.4,4,3.2E-12
79.5,4,3.2E-12
79.6,4,3.19E-12
79.7,4,3.18E-12
79.8,4,3.18E-12
79.9,4,3.17E-12
80,4,3.17E-12
80.1,4,3.16E-12
80.2,4,3.15E-12
80.3,4,3.15E-12
80.4,4,3.14E-12
80.5,4,3.14E-12
80.6,4,3.13E-12
80.7,4,3.12E-12
80.8,4,3.12E-12
80.9,4,3.11E-12
81,4,3.11E-12
81.1,4,3.1E-12
81.2,4,3.09E-12
81.3,4,3.09E-12
81.4,4,3.08E-12
81.5,4,3.08E-12
81.6,4,3.07E-12
81.7,4,3.06E-12
81.8,4,3.06E-12
81.9,4,3.05E-12
82,4,3.05E-12
82.1,4,3.04E-12
82.2,4,3.04E-12
82.3,4,3.03E-12
82.4,4,3.02E-12
82.5,4,3.02E-12
82.6,4,3.01E-12
82.7,4,3.01E-12
82.8,4,3E-12
82.9,4,3E-12
83,4,2.99E-12
83.1,4,2.98E-12
83.2,4,2.98E-12
83.3,4,2.97E-12
83.4,4,2.97E-12
83.5,4,2.96E-12
83.6,4,2.96E-12
83.7,4,2.95E-12
83.8,4,2.94E-12
83.9,4,2.94E-12
84,4,2.93E-12
84.1,4,2.93E-12
84.2,4,2.92E-12
84.3,4,2.92E-12
84.4,4,2.91E-12
84.5,4,2.91E-12
84.6,4,2.9E-12
84.7,4,2.89E-12
84.8,4,2.89E-12
84.9,4,2.88E-12
85,4,2.88E-12
85.1,4,2.87E-12
85.2,4,2.87E-12
85.3,4,2.86E-12
85.4,4,2.86E-12
85.5,4,2.85E-12
85.6,4,2.85E-12
85.7,4,2.84E-12
85.8,4,2.84E-12
85.9,4,2.83E-12
86,4,2.82E-12
86.1,4,2.82E-12
86.2,4,2.81E-12
86.3,4,2.81E-12
86.4,4,2.8E-12
86.5,4,2.8E-12
86.6,4,2.79E-12
86.7,4,2.79E-12
86.8,4,2.78E-12
86.9,4,2.78E-12
87,4,2.77E-12
87.1,4,2.77E-12
87.2,4,2.76E-12
87.3,4,2.76E-12
87.4,4,2.75E-12
87.5,4,2.75E-12
87.6,4,2.74E-12
87.7,4,2.74E-12
87.8,4,2.73E-12
87.9,4,2.73E-12
88,4,2.72E-12
88.1,4,2.72E-12
88.2,4,2.71E-12
88.3,4,2.71E-12
88.4,4,2.70032E-12
88.5,4,2.69528E-12
88.6,4,2.69025E-12
88.7,4,2.68522E-12
88.8,4,2.68021E-12
88.9,4,2.67521E-12
89,4,2.67022E-12
89.1,4,2.66525E-12
89.2,4,2.66028E-12
89.3,4,2.65532E-12
89.4,4,2.65037E-12
89.5,4,2.64544E-12
89.6,4,2.64051E-12
89.7,4,2.63559E-12
89.8,4,2.63069E-12
89.9,4,2.62579E-12
90,4,2.62091E-12
90.1,4,2.61603E-12
90.2,4,2.61117E-12
90.3,4,2.60632E-12
90.4,4,2.60147E-12
90.5,4,2.59664E-12
90.6,4,2.59182E-12
90.7,4,2.587E-12
90.8,4,2.5822E-12
90.9,4,2.57741E-12
91,4,2.57262E-12
91.1,4,2.56785E-12
91.2,4,2.56309E-12
91.3,4,2.55833E-12
91.4,4,2.55359E-12
91.5,4,2.54886E-12
91.6,4,2.54413E-12
91.7,4,2.53942E-12
91.8,4,2.53472E-12
91.9,4,2.53002E-12
92,4,2.52534E-12
